step,sim_time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,action_0,action_1,action_2,action_3,action_4,action_5,root_pos_w_0,root_pos_w_1,root_pos_w_2,root_quat_w_0,root_quat_w_1,root_quat_w_2,root_quat_w_3,root_lin_vel_b_0,root_lin_vel_b_1,root_lin_vel_b_2,root_ang_vel_b_0,root_ang_vel_b_1,root_ang_vel_b_2,joint_pos_servo2,joint_pos_servo1,joint_pos_servo4,joint_pos_servo3,joint_pos_wheel1,joint_pos_wheel2,joint_vel_servo2,joint_vel_servo1,joint_vel_servo4,joint_vel_servo3,joint_vel_wheel1,joint_vel_wheel2,computed_torque_0,computed_torque_1,computed_torque_2,computed_torque_3,computed_torque_4,computed_torque_5,applied_torque_0,applied_torque_1,applied_torque_2,applied_torque_3,applied_torque_4,applied_torque_5
0,0.02,-8.671650203462278e-11,2.3104165802756427e-10,-0.09810000658035278,-1.2626357737133276e-09,-1.9834525688544602e-10,-2.768946877340639e-11,0.0,0.0,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.27000001072883606,0.0,-0.8999999761581421,-0.8999999761581421,1.899999976158142,1.899999976158142,2.4111321392152746e-14,-1.2603653743500226e-13,-3.1745519841336334e-12,2.104595143992416e-12,2.5969173643100585e-13,1.823054294330939e-12,2.883022325646939e-14,-7.53641940520744e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.7130351066589355,1.2619719505310059,-0.6090027689933777,1.2699939012527466,-0.07002481073141098,0.023787301033735275,-0.0007638599490746856,0.0008256290457211435,0.33012688159942627,-0.0012614693259820342,0.0011115812230855227,-3.732313052751124e-05,0.9999985098838806,-0.04180765524506569,-0.007776080165058374,2.9992141723632812,0.0006298802327364683,0.7566497325897217,-0.00614393875002861,-0.003198410151526332,-0.003300044685602188,-0.0026511733885854483,-0.004836457781493664,-0.002191430190578103,0.000970148597843945,-0.5751241445541382,-0.6539977788925171,-0.4583682715892792,-0.962475597858429,-0.3778621554374695,0.2509261965751648,-2.4044666290283203,-0.7403144836425781,-3.2277309894561768,-3.1280062198638916,-1.1169958114624023,0.38197702169418335,-2.0,-0.7403144836425781,-2.0,-2.0,-1.1169958114624023,0.38197702169418335
1,0.04,-0.04180765524506569,-0.007776080165058374,2.9992141723632812,0.0006298802327364683,0.7566497325897217,-0.00614393875002861,0.002223065122961998,0.0025230178143829107,-0.9999940395355225,0.0,0.0,0.0,0.27000001072883606,0.0,0.33012688159942627,-0.0025230266619473696,-0.9031983613967896,-0.9026511311531067,1.8966999053955078,1.8951635360717773,-0.002191430190578103,0.000970148597843945,-0.5751241445541382,-0.4583682715892792,-0.6539977788925171,-0.962475597858429,-0.3778621554374695,0.2509261965751648,-0.7130351066589355,1.2619719505310059,-0.6090027689933777,1.2699939012527466,-0.07002481073141098,0.023787301033735275,-0.9888573288917542,0.9124376773834229,-0.8351706862449646,0.9954288005828857,-0.14764617383480072,0.06082094833254814,-0.0009704362018965185,0.0008222133037634194,0.38991087675094604,-0.001246461644768715,0.01739843375980854,-0.0004640804836526513,0.9998477101325989,-0.12389789521694183,-0.010281771421432495,2.9405324459075928,0.014157170429825783,2.4583609104156494,-0.1656239628791809,-0.022312911227345467,-0.032749030739068985,-0.020190846174955368,-0.04196827486157417,-0.013694372028112411,0.006622121203690767,-1.531859040260315,-2.048123836517334,-1.5363175868988037,-2.5088791847229004,-0.9967741966247559,0.5330884456634521,-5.151241302490234,-2.832655429840088,-4.785518646240234,-2.9474785327911377,-1.4174227714538574,0.6479122638702393,-2.0,-2.0,-2.0,-2.0,-1.4174227714538574,0.6479122638702393
2,0.06,-0.12389789521694183,-0.010281771421432495,2.9405324459075928,0.014157170429825783,2.4583609104156494,-0.1656239628791809,0.034790411591529846,0.002508691977709532,-0.9993913173675537,0.0,0.0,0.0,0.27000001072883606,0.0,0.38991087675094604,-0.002510214224457741,-0.9223129153251648,-0.9201908111572266,1.867250919342041,1.8580317497253418,-0.013694372028112411,0.006622121203690767,-1.531859040260315,-1.5363175868988037,-2.048123836517334,-2.5088791847229004,-0.9967741966247559,0.5330884456634521,-0.9888573288917542,0.9124376773834229,-0.8351706862449646,0.9954288005828857,-0.14764617383480072,0.06082094833254814,-0.8873037099838257,0.9185543656349182,-0.7487697601318359,0.9532331228256226,-0.12785924971103668,0.06798665225505829,-0.0013626494910567999,0.0007873335853219032,0.4461213946342468,-0.0014116495149210095,0.048494014889001846,0.005354846827685833,0.9988080263137817,-0.3331250548362732,-0.007998475804924965,2.7137160301208496,-0.07064081728458405,2.6334354877471924,0.8600953817367554,-0.07029010355472565,-0.09505113959312439,-0.05535989627242088,-0.10162729769945145,-0.03500176966190338,0.01661299355328083,-2.0984747409820557,-3.272826671600342,-1.139384150505066,-3.0603866577148438,-1.0310786962509155,0.5400243401527405,0.8953351974487305,1.3144176006317139,-0.27038097381591797,-0.4292278289794922,0.19261622428894043,0.16130292415618896,0.8953351974487305,1.3144176006317139,-0.27038097381591797,-0.4292278289794922,0.19261622428894043,0.16130292415618896
3,0.08,-0.3331250548362732,-0.007998475804924965,2.7137160301208496,-0.07064081728458405,2.6334354877471924,0.8600953817367554,0.09688753634691238,0.0023005777038633823,-0.9952923059463501,0.0,0.0,0.0,0.27000001072883606,0.0,0.4461213946342468,-0.002311454387381673,-0.9702900648117065,-0.9553598761558533,1.8049488067626953,1.7983726263046265,-0.03500176966190338,0.01661299355328083,-2.0984747409820557,-1.139384150505066,-3.272826671600342,-3.0603866577148438,-1.0310786962509155,0.5400243401527405,-0.8873037099838257,0.9185543656349182,-0.7487697601318359,0.9532331228256226,-0.12785924971103668,0.06798665225505829,-0.8756759762763977,0.8106335997581482,-0.7611802220344543,0.8528293371200562,-0.13770835101604462,0.06106043979525566,-0.0027496968396008015,0.0007993567851372063,0.49816858768463135,-0.002151469001546502,0.07268868386745453,0.013419083319604397,0.9972620606422424,-0.46390268206596375,-0.004632771946489811,2.4822843074798584,-0.10857033729553223,2.450015068054199,0.7148844003677368,-0.11031188070774078,-0.16005995869636536,-0.07704712450504303,-0.16186387836933136,-0.055573031306266785,0.027540819719433784,-1.8703099489212036,-3.609621524810791,-1.0730295181274414,-3.3115956783294678,-1.0474892854690552,0.5501872897148132,0.028202533721923828,-0.32201170921325684,-1.3209891319274902,-1.2012925148010254,-0.156935453414917,-0.11454612016677856,0.028202533721923828,-0.32201170921325684,-1.3209891319274902,-1.2012925148010254,-0.156935453414917,-0.11454612016677856
4,0.1,-0.46390268206596375,-0.004632771946489811,2.4822843074798584,-0.10857033729553223,2.450015068054199,0.7148844003677368,0.14503706991672516,0.0023403256200253963,-0.989423394203186,0.0,0.0,0.0,0.27000001072883606,0.0,0.49816858768463135,-0.0023653386160731316,-1.0103118419647217,-0.9770470857620239,1.7399400472640991,1.7381360530853271,-0.055573031306266785,0.027540819719433784,-1.8703099489212036,-1.0730295181274414,-3.609621524810791,-3.3115956783294678,-1.0474892854690552,0.5501872897148132,-0.8756759762763977,0.8106335997581482,-0.7611802220344543,0.8528293371200562,-0.13770835101604462,0.06106043979525566,-0.8633316159248352,0.7567646503448486,-0.7533436417579651,0.8010064363479614,-0.1265432983636856,0.06351795792579651,-0.004683523438870907,0.0008302463102154434,0.5459970235824585,-0.0032248671632260084,0.09524346888065338,0.019511818885803223,0.9952574968338013,-0.5611565113067627,-0.0021698633208870888,2.24837064743042,-0.12923464179039001,2.1745376586914062,0.5568857192993164,-0.14555363357067108,-0.23072269558906555,-0.09810371696949005,-0.22712691128253937,-0.07712514698505402,0.03764836862683296,-1.6360982656478882,-3.65177321434021,-0.9737198352813721,-3.37748122215271,-1.0066306591033936,0.529224693775177,0.10447478294372559,0.020272493362426758,-0.5861310958862305,-0.5699458122253418,0.18664050102233887,0.03497028350830078,0.10447478294372559,0.020272493362426758,-0.5861310958862305,-0.5699458122253418,0.18664050102233887,0.03497028350830078
5,0.12,-0.5611565113067627,-0.0021698633208870888,2.24837064743042,-0.12923464179039001,2.1745376586914062,0.5568857192993164,0.1897093951702118,0.002702399855479598,-0.9818364381790161,0.0,0.0,0.0,0.27000001072883606,0.0,0.5459970235824585,-0.00275238580070436,-1.0455535650253296,-0.998103678226471,1.669277310371399,1.6728730201721191,-0.07712514698505402,0.03764836862683296,-1.6360982656478882,-0.9737198352813721,-3.65177321434021,-3.37748122215271,-1.0066306591033936,0.529224693775177,-0.8633316159248352,0.7567646503448486,-0.7533436417579651,0.8010064363479614,-0.1265432983636856,0.06351795792579651,-0.8651745915412903,0.7091262340545654,-0.7557927966117859,0.7560977935791016,-0.11542690545320511,0.06861820816993713,-0.007047845982015133,0.0008743650978431106,0.589645504951477,-0.0045457202941179276,0.11530344933271408,0.024465102702379227,0.9930185675621033,-0.6187429428100586,-0.0004381723701953888,2.0172312259674072,-0.1474386751651764,1.9930938482284546,0.4600168466567993,-0.1768886297941208,-0.30131784081459045,-0.11713500320911407,-0.2926197648048401,-0.09698797762393951,0.04808737710118294,-1.519911766052246,-3.6103551387786865,-0.9306840300559998,-3.351550579071045,-0.9207919239997864,0.5607538819313049,-0.039646148681640625,-0.0731356143951416,-0.45969533920288086,-0.4391050338745117,0.19051849842071533,0.08568394184112549,-0.039646148681640625,-0.0731356143951416,-0.45969533920288086,-0.4391050338745117,0.19051849842071533,0.08568394184112549
6,0.14,-0.6187429428100586,-0.0004381723701953888,2.0172312259674072,-0.1474386751651764,1.9930938482284546,0.4600168466567993,0.22921936213970184,0.0033861477859318256,-0.9733688235282898,0.0,0.0,0.0,0.27000001072883606,0.0,0.589645504951477,-0.0034787780605256557,-1.0768885612487793,-1.0171350240707397,1.598682165145874,1.6073801517486572,-0.09698797762393951,0.04808737710118294,-1.519911766052246,-0.9306840300559998,-3.6103551387786865,-3.351550579071045,-0.9207919239997864,0.5607538819313049,-0.8651745915412903,0.7091262340545654,-0.7557927966117859,0.7560977935791016,-0.11542690545320511,0.06861820816993713,-0.8582867980003357,0.6756430864334106,-0.7496402263641357,0.7246298789978027,-0.10987269133329391,0.07051147520542145,0.0,0.0,0.27000001072883606,0.0,0.0,0.0,1.0,-0.6458287239074707,0.0007328800857067108,1.7917907238006592,-0.16085782647132874,1.7710411548614502,0.3831597566604614,-0.20577053725719452,-0.37074604630470276,-0.134918212890625,-0.3571203351020813,-0.11532445251941681,0.05914299562573433,-1.3585277795791626,-3.495318651199341,-0.8256969451904297,-3.2469847202301025,-0.8788707256317139,0.5706775188446045,0.15215611457824707,0.10887885093688965,-0.25541067123413086,-0.24690818786621094,0.10392093658447266,0.03873634338378906,0.15215611457824707,0.10887885093688965,-0.25541067123413086,-0.24690818786621094,0.10392093658447266,0.03873634338378906
7,0.16,-0.6458287239074707,0.0007328800857067108,1.7917907238006592,-0.16085782647132874,1.7710411548614502,0.3831597566604614,0.0,0.0,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.27000001072883606,0.0,-1.105770468711853,-1.034918189048767,1.5292539596557617,1.542879581451416,-0.11532445251941681,0.05914299562573433,-1.3585277795791626,-0.8256969451904297,-3.495318651199341,-3.2469847202301025,-0.8788707256317139,0.5706775188446045,0.0,0.0,0.0,0.0,0.0,0.0,-0.8796527981758118,0.5209956765174866,-0.8196568489074707,0.5957398414611816,0.014044065959751606,0.12242887914180756,-0.01628308929502964,0.0015579465543851256,0.31989586353302,-0.002495775930583477,0.014133657328784466,-0.0001518672361271456,0.9998969435691833,-0.9270355701446533,0.024236062541604042,2.4796242713928223,-0.1298251897096634,0.6624000072479248,0.0033048547338694334,-0.24172426760196686,-0.4844938814640045,-0.16414153575897217,-0.4846285283565521,-0.10020113736391068,0.09158390760421753,-1.567465901374817,-4.487372875213623,-1.3078747987747192,-5.04522180557251,0.0715765580534935,0.9760823845863342,0.403911828994751,0.05438089370727539,2.7088875770568848,4.729907512664795,-0.3513251543045044,-0.33504772186279297,0.403911828994751,0.05438089370727539,2.0,2.0,-0.3513251543045044,-0.33504772186279297
8,0.18,-0.9270355701446533,0.024236062541604042,2.4796242713928223,-0.1298251897096634,0.6624000072479248,0.0033048547338694334,0.028263643383979797,0.004995330236852169,-0.9995878338813782,0.0,0.0,0.0,0.27000001072883606,0.0,0.31989586353302,-0.004997347481548786,-1.1417242288589478,-1.0641415119171143,1.41550612449646,1.4153714179992676,-0.10020113736391068,0.09158390760421753,-1.567465901374817,-1.3078747987747192,-4.487372875213623,-5.04522180557251,0.0715765580534935,0.9760823845863342,-0.8796527981758118,0.5209956765174866,-0.8196568489074707,0.5957398414611816,0.014044065959751606,0.12242887914180756,-0.9152418971061707,0.4081076681613922,-0.876984715461731,0.43557271361351013,0.13729794323444366,0.24177353084087372,-0.03409211337566376,0.0027068029157817364,0.36952444911003113,-0.004534483887255192,0.01593286357820034,6.759550160495564e-05,0.9998627305030823,-0.956911563873291,0.03943619504570961,2.364208459854126,-0.2642417550086975,0.34286779165267944,0.07173217087984085,-0.2681090533733368,-0.5608921051025391,-0.19180472195148468,-0.5598949193954468,-0.0972120612859726,0.1120174378156662,-1.420743703842163,-4.112037658691406,-1.4905675649642944,-3.9199159145355225,0.16381381452083588,1.0374351739883423,-0.6501779556274414,-0.5891077518463135,-1.3377652168273926,-1.6330509185791016,-0.01381424069404602,0.08039724826812744,-0.6501779556274414,-0.5891077518463135,-1.3377652168273926,-1.6330509185791016,-0.01381424069404602,0.08039724826812744
9,0.2,-0.956911563873291,0.03943619504570961,2.364208459854126,-0.2642417550086975,0.34286779165267944,0.07173217087984085,0.03186196833848953,0.009065568447113037,-0.9994509816169739,0.0,0.0,0.0,0.27000001072883606,0.0,0.36952444911003113,-0.009070297703146935,-1.1681090593338013,-1.0918047428131104,1.339107871055603,1.3401050567626953,-0.0972120612859726,0.1120174378156662,-1.420743703842163,-1.4905675649642944,-4.112037658691406,-3.9199159145355225,0.16381381452083588,1.0374351739883423,-0.9152418971061707,0.4081076681613922,-0.876984715461731,0.43557271361351013,0.13729794323444366,0.24177353084087372,-0.9096469879150391,0.4131512939929962,-0.8750124573707581,0.44172486662864685,0.1559261530637741,0.2587587237358093,-0.05173228681087494,0.003964186180382967,0.4145375192165375,-0.007143126800656319,0.018047798424959183,0.0005066063022240996,0.9998114705085754,-0.9546952843666077,0.029626060277223587,2.133021831512451,-0.2583785057067871,0.040943123400211334,0.02184681035578251,-0.29666969180107117,-0.640906810760498,-0.22193153202533722,-0.6365450620651245,-0.07616661489009857,0.1498561054468155,-1.3501906394958496,-3.8200790882110596,-1.4431918859481812,-3.652078628540039,1.0860223770141602,1.9238810539245605,0.18641090393066406,0.1379075050354004,0.2692546844482422,0.2687654495239258,0.024968624114990234,0.02174091339111328,0.18641090393066406,0.1379075050354004,0.2692546844482422,0.2687654495239258,0.024968624114990234,0.02174091339111328
