step,sim_time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,action_0,action_1,action_2,action_3,action_4,action_5,root_pos_w_0,root_pos_w_1,root_pos_w_2,root_quat_w_0,root_quat_w_1,root_quat_w_2,root_quat_w_3,root_lin_vel_b_0,root_lin_vel_b_1,root_lin_vel_b_2,root_ang_vel_b_0,root_ang_vel_b_1,root_ang_vel_b_2,joint_pos_servo2,joint_pos_servo1,joint_pos_servo4,joint_pos_servo3,joint_pos_wheel1,joint_pos_wheel2,joint_vel_servo2,joint_vel_servo1,joint_vel_servo4,joint_vel_servo3,joint_vel_wheel1,joint_vel_wheel2,applied_torque_0,applied_torque_1,applied_torque_2,applied_torque_3,applied_torque_4,applied_torque_5
0,0.02,-8.671650203462278e-11,2.3104165802756427e-10,-0.09810000658035278,-1.2626357737133276e-09,-1.9834525688544602e-10,-2.768946877340639e-11,0.0,0.0,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.769264280796051,0.0,-0.8999999761581421,-0.8999999761581421,1.899999976158142,1.899999976158142,2.4111321392152746e-14,-1.2603653743500226e-13,-3.1745519841336334e-12,2.104595143992416e-12,2.5969173643100585e-13,1.823054294330939e-12,2.883022325646939e-14,-7.53641940520744e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.5405217409133911,-0.12913046777248383,0.8235713243484497,-0.39114418625831604,0.8630229830741882,1.119219422340393,-0.0002917935198638588,-2.0352599676698446e-06,0.7648362517356873,2.4999683319038013e-06,-0.0010007048258557916,-0.0004593434859998524,0.9999994039535522,-0.055392906069755554,-0.0004551060264930129,-0.29717960953712463,0.0011958845425397158,-0.40059104561805725,-0.18405935168266296,0.004549675155431032,-0.007311820052564144,0.003906935919076204,-0.008251885883510113,0.02982407994568348,0.0387054905295372,0.9099349975585938,-1.4623639583587646,0.7813871502876282,-1.6503772735595703,5.964816093444824,7.741097927093506,2.0,2.0,-2.0,-2.0,13.808367729187012,17.90751075744629
1,0.04,-0.055392906069755554,-0.0004551060264930129,-0.29717960953712463,0.0011958845425397158,-0.40059104561805725,-0.18405935168266296,-0.0020014061592519283,-5.919268005527556e-06,-0.9999980330467224,0.0,0.0,0.0,0.27000001072883606,0.0,0.7648362517356873,5.919279828958679e-06,-0.8954502940177917,-0.8960930109024048,1.8926881551742554,1.891748070716858,0.02982407994568348,0.0387054905295372,0.9099349975585938,0.7813871502876282,-1.4623639583587646,-1.6503772735595703,5.964816093444824,7.741097927093506,0.0,0.0,0.0,0.0,0.0,0.0,1.5304220914840698,-0.16018684208393097,0.8219330310821533,-0.3251023590564728,0.684422492980957,1.0837478637695312,-0.0010050043929368258,-2.324521483387798e-05,0.7562443017959595,3.4658951335586607e-06,-0.014341050758957863,-0.0036870583426207304,0.9998903274536133,-0.018253084272146225,-0.0016543552046641707,-0.515971302986145,-0.0012292456813156605,-1.893953561782837,-0.3265836536884308,0.0712638720870018,-0.0836302861571312,0.06611382216215134,-0.0912042111158371,0.14105680584907532,0.2127341330051422,4.76587438583374,-5.254584789276123,4.537472724914551,-5.5915422439575195,5.546594142913818,8.740439414978027,2.0,2.0,-2.0,-2.0,-0.1439495086669922,-0.13669204711914062
2,0.06,-0.018253084272146225,-0.0016543552046641707,-0.515971302986145,-0.0012292456813156605,-1.893953561782837,-0.3265836536884308,-0.028678929433226585,-0.00011268361413385719,-0.9995884895324707,0.0,0.0,0.0,0.27000001072883606,0.0,0.7562443017959595,0.00011272998381173238,-0.8287361264228821,-0.8338861465454102,1.816369652748108,1.8087958097457886,0.14105680584907532,0.2127341330051422,4.76587438583374,4.537472724914551,-5.254584789276123,-5.5915422439575195,5.546594142913818,8.740439414978027,0.0,0.0,0.0,0.0,0.0,0.0,1.3773969411849976,-0.20079965889453888,0.8401684165000916,-0.3143813908100128,0.053275443613529205,0.5484660267829895,0.0002598281716927886,-8.527394675184041e-05,0.7427955865859985,-7.360462041106075e-05,-0.03707495704293251,-0.0066687059588730335,0.9992901682853699,0.05252872779965401,-0.003396776970475912,-0.7890883088111877,0.0021796217188239098,-1.924584984779358,-0.1827467978000641,0.20421887934207916,-0.22842995822429657,0.19606566429138184,-0.24495719373226166,0.1553730070590973,0.305504709482193,7.007810115814209,-8.62244701385498,7.014018535614014,-9.120076179504395,0.5183959007263184,4.468067169189453,-0.2507619857788086,-0.03625297546386719,-2.0,-2.0,-0.20018911361694336,-0.15222549438476562
3,0.08,0.05252872779965401,-0.003396776970475912,-0.7890883088111877,0.0021796217188239098,-1.924584984779358,-0.1827467978000641,-0.07409826666116714,-0.00034737924579530954,-0.9972506165504456,0.0,0.0,0.0,0.27000001072883606,0.0,0.7427955865859985,0.00034833684912882745,-0.6957811117172241,-0.7039343118667603,1.671570062637329,1.6550427675247192,0.1553730070590973,0.305504709482193,7.007810115814209,7.014018535614014,-8.62244701385498,-9.120076179504395,0.5183959007263184,4.468067169189453,0.0,0.0,0.0,0.0,0.0,0.0,1.0971400737762451,-0.24477766454219818,0.7515367865562439,-0.36339688301086426,-0.15771247446537018,0.22927525639533997,0.0028461895417422056,-0.0002125017053913325,0.7237837314605713,2.7223064535064623e-05,-0.048136889934539795,-0.007836679928004742,0.9988099932670593,0.03370597958564758,-0.0067637087777256966,-1.0659159421920776,0.015498653054237366,-0.91468745470047,-0.1569354385137558,0.33618220686912537,-0.4161456823348999,0.32963383197784424,-0.4428060054779053,0.1320531666278839,0.344921737909317,6.313487529754639,-9.185893058776855,6.382700443267822,-9.780233383178711,-1.2809414863586426,1.8249284029006958,-0.3054676055908203,-0.43184375762939453,0.4616432189941406,0.3792839050292969,0.006613731384277344,-0.03945446014404297
4,0.1,0.03370597958564758,-0.0067637087777256966,-1.0659159421920776,0.015498653054237366,-0.91468745470047,-0.1569354385137558,-0.09615878760814667,-0.0008088481263257563,-0.9953656792640686,0.0,0.0,0.0,0.27000001072883606,0.0,0.7237837314605713,0.0008126138709485531,-0.5638177394866943,-0.5703661441802979,1.4838542938232422,1.4571939706802368,0.1320531666278839,0.344921737909317,6.313487529754639,6.382700443267822,-9.185893058776855,-9.780233383178711,-1.2809414863586426,1.8249284029006958,0.0,0.0,0.0,0.0,0.0,0.0,0.9210742712020874,-0.22953446209430695,0.6253408193588257,-0.31486284732818604,-0.037511445581912994,0.2607824206352234,0.0050860121846199036,-0.00035683269379660487,0.6998206377029419,0.0001913743617478758,-0.05746791884303093,-0.00867985375225544,0.9983096122741699,-0.03533625602722168,-0.007406194694340229,-1.2968429327011108,0.021089883521199226,-0.9043827056884766,-0.08930756151676178,0.4547165334224701,-0.5872625112533569,0.44903552532196045,-0.6212993264198303,0.12478427588939667,0.3858725130558014,5.7152934074401855,-8.206354141235352,5.749505519866943,-8.573018074035645,-0.3204703629016876,2.0666661262512207,-0.2752237319946289,-0.29810237884521484,0.4380226135253906,0.4362449645996094,0.05084371566772461,0.04405641555786133
5,0.12,-0.03533625602722168,-0.007406194694340229,-1.2968429327011108,0.021089883521199226,-0.9043827056884766,-0.08930756151676178,-0.11473822593688965,-0.0013797279680147767,-0.9933948516845703,0.0,0.0,0.0,0.27000001072883606,0.0,0.6998206377029419,0.0013889010297134519,-0.445283442735672,-0.45096445083618164,1.3127374649047852,1.278700590133667,0.12478427588939667,0.3858725130558014,5.7152934074401855,5.749505519866943,-8.206354141235352,-8.573018074035645,-0.3204703629016876,2.0666661262512207,0.0,0.0,0.0,0.0,0.0,0.0,0.847910463809967,-0.19729585945606232,0.5658652782440186,-0.2570517063140869,-0.12442957609891891,0.1571696400642395,0.007168554235249758,-0.0004822145274374634,0.6714314818382263,0.0003421648871153593,-0.06653158366680145,-0.00907749030739069,0.9977429509162903,-0.09402218461036682,-0.006959871388971806,-1.5066888332366943,0.02249329723417759,-0.8538259863853455,-0.028609594330191612,0.5622299313545227,-0.7372292280197144,0.556855320930481,-0.7753835320472717,0.10506688058376312,0.4111863672733307,5.171510696411133,-7.226329326629639,5.19380521774292,-7.417172431945801,-1.0104857683181763,1.2402701377868652,-0.27634429931640625,-0.2604646682739258,0.3612937927246094,0.3822174072265625,0.025998473167419434,0.03191685676574707
6,0.14,-0.09402218461036682,-0.006959871388971806,-1.5066888332366943,0.02249329723417759,-0.8538259863853455,-0.028609594330191612,-0.13275662064552307,-0.0018906649202108383,-0.9911468029022217,0.0,0.0,0.0,0.27000001072883606,0.0,0.6714314818382263,0.0019075502641499043,-0.3377700448036194,-0.34314465522766113,1.1627707481384277,1.1246163845062256,0.10506688058376312,0.4111863672733307,5.171510696411133,5.19380521774292,-7.226329326629639,-7.417172431945801,-1.0104857683181763,1.2402701377868652,0.0,0.0,0.0,0.0,0.0,0.0,0.77729731798172,-0.16488780081272125,0.5241805911064148,-0.21173973381519318,-0.21526579558849335,0.025624416768550873,0.009186534211039543,-0.0005778624326921999,0.6389096975326538,0.0004866013478022069,-0.07480493932962418,-0.008949204348027706,0.997157871723175,-0.15240079164505005,-0.006601383909583092,-1.7031710147857666,0.022901292890310287,-0.7706243991851807,0.010966015979647636,0.6593058705329895,-0.8689607381820679,0.6544986963272095,-0.90903240442276,0.07087473571300507,0.41574540734291077,4.671482086181641,-6.347919464111328,4.697835922241211,-6.4420928955078125,-1.7360270023345947,0.19133293628692627,-0.2425985336303711,-0.24970531463623047,0.32733726501464844,0.32822227478027344,0.02405095100402832,0.022064179182052612
7,0.16,-0.15240079164505005,-0.006601383909583092,-1.7031710147857666,0.022901292890310287,-0.7706243991851807,0.010966015979647636,-0.1491759717464447,-0.002309326082468033,-0.9888077974319458,0.0,0.0,0.0,0.27000001072883606,0.0,0.6389096975326538,0.002335460390895605,-0.2406941056251526,-0.24550127983093262,1.0310392379760742,0.9909675717353821,0.07087473571300507,0.41574540734291077,4.671482086181641,4.697835922241211,-6.347919464111328,-6.4420928955078125,-1.7360270023345947,0.19133293628692627,0.0,0.0,0.0,0.0,0.0,0.0,0.7105334401130676,-0.13481947779655457,0.4935415983200073,-0.17484289407730103,-0.3069334924221039,-0.09950203448534012,0.011177773587405682,-0.0006501666503027081,0.6024526953697205,0.000618799589574337,-0.08208179473876953,-0.008624782785773277,0.9965879917144775,-0.21057644486427307,-0.006627627648413181,-1.8907427787780762,0.021479934453964233,-0.6707121729850769,0.026662552729249,0.747026264667511,-0.9844697713851929,0.7428141832351685,-1.0254034996032715,0.022051021456718445,0.40031543374061584,4.221782207489014,-5.566155433654785,4.246614456176758,-5.611393928527832,-2.467845916748047,-0.8075621128082275,-0.21885395050048828,-0.23102569580078125,0.2943391799926758,0.2897958755493164,0.021234989166259766,0.017555594444274902
8,0.18,-0.21057644486427307,-0.006627627648413181,-1.8907427787780762,0.021479934453964233,-0.6707121729850769,0.026662552729249,-0.16359278559684753,-0.002649251837283373,-0.9865240454673767,0.0,0.0,0.0,0.27000001072883606,0.0,0.6024526953697205,0.002685433253645897,-0.1529737114906311,-0.15718579292297363,0.9155302047729492,0.8745964765548706,0.022051021456718445,0.40031543374061584,4.221782207489014,4.246614456176758,-5.566155433654785,-5.611393928527832,-2.467845916748047,-0.8075621128082275,0.0,0.0,0.0,0.0,0.0,0.0,0.6428365707397461,-0.10951308906078339,0.4652712345123291,-0.1448458582162857,-0.39080098271369934,-0.21166729927062988,0.013161461800336838,-0.0007028078543953598,0.5621827840805054,0.0007357521681115031,-0.0882352665066719,-0.008219640702009201,0.9960654377937317,-0.2679152190685272,-0.006822225172072649,-2.0729715824127197,0.019351901486516,-0.5596005916595459,0.03410094976425171,0.8263161778450012,-1.0858761072158813,0.8226495981216431,-1.1270251274108887,-0.040204789489507675,0.3669053614139557,3.8157787322998047,-4.886298656463623,3.837831974029541,-4.900442123413086,-3.137338876724243,-1.7033213376998901,-0.1991128921508789,-0.2112112045288086,0.26467227935791016,0.2587575912475586,0.018722057342529297,0.014889955520629883
9,0.2,-0.2679152190685272,-0.006822225172072649,-2.0729715824127197,0.019351901486516,-0.5596005916595459,0.03410094976425171,-0.17576409876346588,-0.0029162392020225525,-0.984427809715271,0.0,0.0,0.0,0.27000001072883606,0.0,0.5621827840805054,0.002962360391393304,-0.07368379831314087,-0.07735037803649902,0.8141238689422607,0.7729748487472534,-0.040204789489507675,0.3669053614139557,3.8157787322998047,3.837831974029541,-4.886298656463623,-4.900442123413086,-3.137338876724243,-1.7033213376998901,0.6428365707397461,-0.10951308906078339,0.4652712345123291,-0.1448458582162857,-0.39080098271369934,-0.21166729927062988,0.8383089303970337,-0.029940329492092133,0.6166888475418091,-0.0657687783241272,-0.649095892906189,-0.48280543088912964,0.015162842348217964,-0.0007456779712811112,0.5184582471847534,0.0008188394131138921,-0.09462248533964157,-0.007906521670520306,0.9954814910888672,-0.3128657639026642,-0.0072278729639947414,-2.238954782485962,0.015879226848483086,-0.5309767127037048,0.03202603757381439,0.8980663418769836,-1.1677833795547485,0.8948351144790649,-1.2092509269714355,-0.12211252003908157,0.3127225935459137,3.4650750160217285,-3.909780979156494,3.487710475921631,-3.9218850135803223,-5.151750564575195,-3.8185276985168457,-0.2504868507385254,-0.26915931701660156,-0.03923940658569336,-0.05153179168701172,-0.5615787506103516,-0.5890712738037109
