step,sim_time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,action_0,action_1,action_2,action_3,action_4,action_5,root_pos_w_0,root_pos_w_1,root_pos_w_2,root_quat_w_0,root_quat_w_1,root_quat_w_2,root_quat_w_3,root_lin_vel_b_0,root_lin_vel_b_1,root_lin_vel_b_2,root_ang_vel_b_0,root_ang_vel_b_1,root_ang_vel_b_2,joint_pos_servo2,joint_pos_servo1,joint_pos_servo4,joint_pos_servo3,joint_pos_wheel1,joint_pos_wheel2,joint_vel_servo2,joint_vel_servo1,joint_vel_servo4,joint_vel_servo3,joint_vel_wheel1,joint_vel_wheel2,computed_torque_0,computed_torque_1,computed_torque_2,computed_torque_3,computed_torque_4,computed_torque_5,applied_torque_0,applied_torque_1,applied_torque_2,applied_torque_3,applied_torque_4,applied_torque_5
0,0.02,-8.671650203462278e-11,2.3104165802756427e-10,-0.09810000658035278,-1.2626357737133276e-09,-1.9834525688544602e-10,-2.768946877340639e-11,0.0,0.0,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.27000001072883606,0.0,-0.8999999761581421,-0.8999999761581421,1.899999976158142,1.899999976158142,2.4111321392152746e-14,-1.2603653743500226e-13,-3.1745519841336334e-12,2.104595143992416e-12,2.5969173643100585e-13,1.823054294330939e-12,2.883022325646939e-14,-7.53641940520744e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.5927746295928955,-0.12370322644710541,0.8579822182655334,-0.3949510157108307,0.8771054148674011,1.1243858337402344,-0.0011610068613663316,0.0008257245062850416,0.33012041449546814,-0.0012619612971320748,-0.0024982918985188007,3.83695078198798e-05,0.9999960064888,-0.08668813109397888,-0.007897238247096539,2.9979870319366455,0.0009349881438538432,-0.6875381469726562,0.010755018331110477,0.0037495207507163286,-0.007691762875765562,0.0036449532490223646,-0.008524194359779358,0.02991248294711113,0.03827247768640518,0.8186157941818237,-1.5311826467514038,0.796770453453064,-1.7010767459869385,6.041918754577637,7.7124834060668945,15.704095840454102,15.703730583190918,-20.54867172241211,-23.939815521240234,14.037087440490723,17.991554260253906,2.0,2.0,-2.0,-2.0,14.037087440490723,17.991554260253906
1,0.04,-0.08668813109397888,-0.007897238247096539,2.9979870319366455,0.0009349881438538432,-0.6875381469726562,0.010755018331110477,-0.004996466916054487,0.0025241042021661997,-0.9999840259552002,0.0,0.0,0.0,0.27000001072883606,0.0,0.33012041449546814,-0.002524138428270817,-0.8962504267692566,-0.8963550329208374,1.892308235168457,1.891475796699524,0.02991248294711113,0.03827247768640518,0.8186157941818237,0.796770453453064,-1.5311826467514038,-1.7010767459869385,6.041918754577637,7.7124834060668945,1.5927746295928955,-0.12370322644710541,0.8579822182655334,-0.3949510157108307,0.8771054148674011,1.1243858337402344,1.996738076210022,-0.10636363923549652,1.0747960805892944,-0.4665285646915436,1.5814210176467896,2.0011372566223145,-0.0036535055842250586,0.0007430260302498937,0.3895193338394165,-0.0011327305110171437,-0.02125382050871849,-0.0001902432122733444,0.999773383140564,-0.005519665777683258,-0.015298062935471535,2.908535957336426,0.02360505796968937,-2.435640335083008,-0.12394637614488602,0.06631819158792496,-0.09261024743318558,0.06382759660482407,-0.09944696724414825,0.19362980127334595,0.24691800773143768,4.494469165802002,-6.0297956466674805,4.277354717254639,-6.45785665512085,11.895528793334961,15.063197135925293,7.997647762298584,8.26904296875,-10.439866065979004,-14.297294616699219,11.283744812011719,14.130674362182617,2.0,2.0,-2.0,-2.0,11.283744812011719,14.130674362182617
2,0.06,-0.005519665777683258,-0.015298062935471535,2.908535957336426,0.02360505796968937,-2.435640335083008,-0.12394637614488602,-0.04249843955039978,0.0022568609565496445,-0.9990937113761902,0.0,0.0,0.0,0.27000001072883606,0.0,0.3895193338394165,-0.002258903346955776,-0.8336817622184753,-0.8361724019050598,1.807389736175537,1.8005529642105103,0.19362980127334595,0.24691800773143768,4.494469165802002,4.277354717254639,-6.0297956466674805,-6.45785665512085,11.895528793334961,15.063197135925293,1.996738076210022,-0.10636363923549652,1.0747960805892944,-0.4665285646915436,1.5814210176467896,2.0011372566223145,1.784562587738037,-0.18243251740932465,0.996216356754303,-0.4079764783382416,1.480718731880188,2.157421350479126,-0.005814103409647942,0.0005311844870448112,0.44430437684059143,-0.000799839326646179,-0.049673713743686676,-0.0015237935585901141,0.998763918876648,0.2093190848827362,-0.015641486272215843,2.6169466972351074,0.03496070206165314,-2.8083646297454834,-0.1617761254310608,0.19390514492988586,-0.26177605986595154,0.18691560626029968,-0.2778020203113556,0.4437534213066101,0.5727577805519104,7.015538692474365,-9.487924575805664,6.782624244689941,-10.0,11.998395919799805,17.101633071899414,0.15640926361083984,0.6512632369995117,-0.8592681884765625,-2.665079116821289,-1.7467041015625,2.369232177734375,0.15640926361083984,0.6512632369995117,-0.8592681884765625,-2.0,-1.7467041015625,2.369232177734375
3,0.08,0.2093190848827362,-0.015641486272215843,2.6169466972351074,0.03496070206165314,-2.8083646297454834,-0.1617761254310608,-0.09922706335783005,0.0014463163679465652,-0.9950633645057678,0.0,0.0,0.0,0.27000001072883606,0.0,0.44430437684059143,-0.0014534901129081845,-0.7060948610305786,-0.71308434009552,1.6382238864898682,1.6221979856491089,0.4437534213066101,0.5727577805519104,7.015538692474365,6.782624244689941,-9.487924575805664,-10.0,11.998395919799805,17.101633071899414,1.784562587738037,-0.18243251740932465,0.996216356754303,-0.4079764783382416,1.480718731880188,2.157421350479126,1.4060838222503662,-0.23191331326961517,0.8287599086761475,-0.4010513722896576,1.2311025857925415,2.0965771675109863,-0.006796845700591803,0.00021899119019508362,0.493651419878006,-0.00021001887216698378,-0.07418361306190491,-0.0025596474297344685,0.997241199016571,0.3423425555229187,-0.01799171417951584,2.3398149013519287,0.06137097626924515,-2.259058952331543,-0.21739932894706726,0.3245486915111542,-0.4432388246059418,0.3175945580005646,-0.477161705493927,0.6719099879264832,0.9155760407447815,6.364173889160156,-8.818050384521484,6.30030632019043,-9.871916770935059,10.123140335083008,16.838760375976562,-0.034725189208984375,-0.16656112670898438,-0.012598037719726562,0.2648811340332031,-3.9386749267578125,-0.9696731567382812,-0.034725189208984375,-0.16656112670898438,-0.012598037719726562,0.2648811340332031,-3.9386749267578125,-0.9696731567382812
4,0.1,0.3423425555229187,-0.01799171417951584,2.3398149013519287,0.06137097626924515,-2.259058952331543,-0.21739932894706726,-0.14795897901058197,3.911115345545113e-05,-0.9889931082725525,0.0,0.0,0.0,0.27000001072883606,0.0,0.493651419878006,-3.954641942982562e-05,-0.5754512548446655,-0.5824054479598999,1.456761121749878,1.4228382110595703,0.6719099879264832,0.9155760407447815,6.364173889160156,6.30030632019043,-8.818050384521484,-9.871916770935059,10.123140335083008,16.838760375976562,1.4060838222503662,-0.23191331326961517,0.8287599086761475,-0.4010513722896576,1.2311025857925415,2.0965771675109863,1.1193678379058838,-0.23621131479740143,0.6420050263404846,-0.3813805878162384,1.3117619752883911,2.204702854156494,-0.007195181678980589,-0.00015877843543421477,0.538021445274353,0.0005744771915487945,-0.09509845077991486,-0.003493191208690405,0.9954615831375122,0.3998107612133026,-0.01422936376184225,2.0883893966674805,0.08313609659671783,-2.0587220191955566,-0.05019717290997505,0.44383952021598816,-0.6119030714035034,0.436339408159256,-0.6630886197090149,0.871656596660614,1.2542243003845215,5.742689609527588,-8.174646377563477,5.706669807434082,-8.911579132080078,10.38682746887207,17.479650497436523,-0.2131805419921875,-0.13714218139648438,0.39776611328125,0.7816276550292969,1.3203315734863281,1.7844085693359375,-0.2131805419921875,-0.13714218139648438,0.39776611328125,0.7816276550292969,1.3203315734863281,1.7844085693359375
5,0.12,0.3998107612133026,-0.01422936376184225,2.0883893966674805,0.08313609659671783,-2.0587220191955566,-0.05019717290997505,-0.18932969868183136,-0.0018081340240314603,-0.9819118976593018,0.0,0.0,0.0,0.27000001072883606,0.0,0.538021445274353,0.0018414400983601809,-0.45616045594215393,-0.4636605679988861,1.2880969047546387,1.2369112968444824,0.871656596660614,1.2542243003845215,5.742689609527588,5.706669807434082,-8.174646377563477,-8.911579132080078,10.38682746887207,17.479650497436523,1.1193678379058838,-0.23621131479740143,0.6420050263404846,-0.3813805878162384,1.3117619752883911,2.204702854156494,0.8629445433616638,-0.24071557819843292,0.4760214686393738,-0.3555964231491089,1.4247510433197021,2.3166332244873047,-0.0076468633487820625,-0.0005227025831118226,0.5778425335884094,0.0014051407342776656,-0.11523876339197159,-0.0030977698042988777,0.9933319091796875,0.4282605051994324,-0.00946057215332985,1.8584933280944824,0.09609025716781616,-2.008099317550659,0.07916256785392761,0.5516650676727295,-0.7651709318161011,0.5440391302108765,-0.8285878300666809,1.0850173234939575,1.610130786895752,5.190073013305664,-7.432450771331787,5.168036937713623,-7.903767108917236,11.256382942199707,18.37150764465332,-0.19768333435058594,-0.1443157196044922,0.35649681091308594,0.7954921722412109,1.8407783508300781,1.8377418518066406,-0.19768333435058594,-0.1443157196044922,0.35649681091308594,0.7954921722412109,1.8407783508300781,1.8377418518066406
6,0.14,0.4282605051994324,-0.00946057215332985,1.8584933280944824,0.09609025716781616,-2.008099317550659,0.07916256785392761,-0.2289319783449173,-0.0035055086482316256,-0.9734357595443726,0.0,0.0,0.0,0.27000001072883606,0.0,0.5778425335884094,0.0036011540796607733,-0.3483349084854126,-0.3559608459472656,1.134829044342041,1.0714120864868164,1.0850173234939575,1.610130786895752,5.190073013305664,5.168036937713623,-7.432450771331787,-7.903767108917236,11.256382942199707,18.37150764465332,0.8629445433616638,-0.24071557819843292,0.4760214686393738,-0.3555964231491089,1.4247510433197021,2.3166332244873047,0.6541071534156799,-0.24146245419979095,0.3500654101371765,-0.3210301399230957,1.4555989503860474,2.3456649780273438,0.0,0.0,0.27000001072883606,0.0,0.0,0.0,1.0,0.4429568648338318,-0.004070991650223732,1.646287441253662,0.05983223021030426,-1.796839952468872,-0.016726665198802948,0.6488387584686279,-0.9040940999984741,0.6395043134689331,-0.9742873311042786,1.313559651374817,1.9812579154968262,4.628095626831055,-6.715085506439209,4.27098274230957,-6.8331451416015625,11.584111213684082,18.72017478942871,-0.17933082580566406,-1.2309789657592773,0.37066650390625,0.8610801696777344,0.5239315032958984,0.50482177734375,-0.17933082580566406,-1.2309789657592773,0.37066650390625,0.8610801696777344,0.5239315032958984,0.50482177734375
7,0.16,0.4429568648338318,-0.004070991650223732,1.646287441253662,0.05983223021030426,-1.796839952468872,-0.016726665198802948,0.0,0.0,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.27000001072883606,0.0,-0.25116121768951416,-0.260495662689209,0.995905876159668,0.9257126450538635,1.313559651374817,1.9812579154968262,4.628095626831055,4.27098274230957,-6.715085506439209,-6.8331451416015625,11.584111213684082,18.72017478942871,0.0,0.0,0.0,0.0,0.0,0.0,0.5290685296058655,-0.2640461325645447,0.33395951986312866,-0.18204554915428162,0.802712619304657,1.4719140529632568,0.005834320560097694,0.000776276458054781,0.31736236810684204,-0.0012907738564535975,0.0090639041736722,4.5356096961768344e-05,0.9999580979347229,0.23379947245121002,-0.0016356338746845722,2.4119229316711426,-0.026644837111234665,0.5470969080924988,-0.04097520932555199,0.7422158718109131,-1.080636739730835,0.7166287302970886,-1.1476331949234009,1.4436509609222412,2.2185580730438232,4.346335411071777,-7.638687610626221,3.476513385772705,-7.712822437286377,6.320341110229492,11.646145820617676,-0.4066753387451172,0.3014254570007324,4.7799224853515625,6.3239946365356445,0.24899578094482422,0.46004486083984375,-0.4066753387451172,0.3014254570007324,2.0,2.0,0.24899578094482422,0.46004486083984375
8,0.18,0.23379947245121002,-0.0016356338746845722,2.4119229316711426,-0.026644837111234665,0.5470969080924988,-0.04097520932555199,0.018127165734767914,0.0025806173216551542,-0.9998323917388916,0.0,0.0,0.0,0.27000001072883606,0.0,0.31736236810684204,-0.0025810443330556154,-0.157784104347229,-0.18337124586105347,0.8193632364273071,0.7523667812347412,1.4436509609222412,2.2185580730438232,4.346335411071777,3.476513385772705,-7.638687610626221,-7.712822437286377,6.320341110229492,11.646145820617676,0.5290685296058655,-0.2640461325645447,0.33395951986312866,-0.18204554915428162,0.802712619304657,1.4719140529632568,0.48931944370269775,-0.1581975221633911,0.23639559745788574,-0.23516513407230377,1.7363336086273193,2.3841962814331055,0.011084601283073425,0.0007083978853188455,0.3656799793243408,-0.0011412908788770437,0.006622495129704475,0.0006606159149669111,0.9999771118164062,0.22605769336223602,-0.0050854370929300785,2.3854312896728516,-0.026148004457354546,-0.4638010561466217,-0.035483650863170624,0.8221256732940674,-1.1990454196929932,0.7796346545219421,-1.270847201347351,1.570002794265747,2.4511098861694336,3.715573787689209,-4.819034576416016,2.6612281799316406,-4.954094409942627,6.336470603942871,11.725295066833496,-0.22457313537597656,-1.4879112243652344,1.834517478942871,2.1437225341796875,0.11639690399169922,0.18686866760253906,-0.22457313537597656,-1.4879112243652344,1.834517478942871,2.0,0.11639690399169922,0.18686866760253906
9,0.2,0.22605769336223602,-0.0050854370929300785,2.3854312896728516,-0.026148004457354546,-0.4638010561466217,-0.035483650863170624,0.013246194459497929,0.0022737798281013966,-0.9999093413352966,0.0,0.0,0.0,0.27000001072883606,0.0,0.3656799793243408,-0.0022739809937775135,-0.07787430286407471,-0.12036532163619995,0.7009545564651489,0.629152774810791,1.570002794265747,2.4511098861694336,3.715573787689209,2.6612281799316406,-4.819034576416016,-4.954094409942627,6.336470603942871,11.725295066833496,0.48931944370269775,-0.1581975221633911,0.23639559745788574,-0.23516513407230377,1.7363336086273193,2.3841962814331055,0.35850560665130615,-0.16965605318546295,0.11624467372894287,-0.2319016009569168,2.0876314640045166,2.7166409492492676,0.014381974935531616,0.0007145616691559553,0.411469042301178,-0.0015026008477434516,-0.0018003354780375957,-0.00033260832424275577,0.9999971389770508,0.17339441180229187,-0.005717184394598007,2.2297117710113525,-0.06215178966522217,-0.6173439025878906,-0.18887552618980408,0.8904983997344971,-1.2900469303131104,0.8225781321525574,-1.363305926322937,1.8409950733184814,2.826207160949707,2.999911308288574,-4.223954677581787,1.5048185586929321,-4.205008029937744,13.876218795776367,19.0836238861084,-1.1069350242614746,-1.9764151573181152,0.22549057006835938,0.4210357666015625,0.10167884826660156,0.09548568725585938,-1.1069350242614746,-1.9764151573181152,0.22549057006835938,0.4210357666015625,0.10167884826660156,0.09548568725585938
