policy_step,sim_time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,leg_target_servo2,leg_target_servo1,leg_target_servo4,leg_target_servo3,wheel_velocity_target_wheel1,wheel_velocity_target_wheel2,applied_ctrl_servo2,applied_ctrl_servo1,applied_ctrl_servo4,applied_ctrl_servo3,applied_ctrl_wheel1,applied_ctrl_wheel2,actuator_force_servo2,actuator_force_servo1,actuator_force_servo4,actuator_force_servo3,actuator_force_wheel1,actuator_force_wheel2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.27000001072883606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8849973082542419,0.3462833762168884,0.8217599987983704,0.32411935925483704,-0.04242663085460663,-0.08369332551956177,1.5700000524520874,-1.4671456813812256,1.5700000524520874,-1.494850754737854,-0.339413046836853,-0.6695466041564941,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,-2.0,2.0,0.0,0.0
1,0.02,6.439777258195794e-18,6.812204989240138e-18,-0.14714999496936798,-6.392455744276738e-17,3.552713599391162e-17,-2.702360349158074e-17,0.0,-7.989123872032757e-19,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.2685284912586212,7.989123872032757e-19,0.0,0.0,0.0,0.0,-1.0547118911782819e-19,-2.7200464425916774e-19,-1.776356799695581e-17,1.0658140798173486e-16,-1.5099033293720807e-16,2.4868995857482625e-16,-4.440891999238953e-18,-1.4432898790731443e-17,0.8849973082542419,0.3462833762168884,0.8217599987983704,0.32411935925483704,-0.04242663085460663,-0.08369332551956177,1.1628472805023193,0.31228572130203247,1.0911002159118652,0.30026933550834656,0.09186095744371414,0.03245590627193451,1.5700000524520874,-1.5096428394317627,1.5700000524520874,-1.5246633291244507,0.7348876595497131,0.2596472501754761,0.8999999761581421,-1.899999976158142,0.8999999761581421,-1.899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,9.99200722162641e-18,2.886579864025407e-17
2,0.04,-0.02001834101974964,-0.000898134196177125,-0.07631979137659073,0.0021457138936966658,-2.492642641067505,0.009756329469382763,-0.025938846170902252,5.291307024890557e-05,-0.9996635317802429,0.0,0.0,0.0,0.27000001072883606,0.0,0.2650632858276367,-5.293087815516628e-05,0.040251314640045166,0.01714634895324707,0.04122591018676758,0.017363667488098145,-0.007311983499675989,-0.013387025333940983,3.0643184185028076,0.7484671473503113,3.133340835571289,0.7444888949394226,-0.3425627052783966,-0.642833411693573,1.1628472805023193,0.31228572130203247,1.0911002159118652,0.30026933550834656,0.09186095744371414,0.03245590627193451,1.2275422811508179,0.14945806562900543,1.1855899095535278,0.14414316415786743,-0.2974475026130676,-0.211492657661438,1.5700000524520874,-1.7131774425506592,1.5700000524520874,-1.7198209762573242,-2.379580020904541,-1.691941261291504,1.5700000524520874,-1.4671456813812256,1.5700000524520874,-1.494850754737854,-0.339413046836853,-0.6695466041564941,1.4636923815482277,2.0,1.3222902730704753,2.0,-0.045193530756322486,-0.0972687282728888
3,0.05999999999999999,-0.07427281141281128,0.00013913842849433422,0.17713439464569092,-0.001127973198890686,-3.7630538940429688,-0.013619796372950077,-0.09553295373916626,6.792655767640099e-05,-0.9954262375831604,0.0,0.0,0.0,0.27000001072883606,0.0,0.26716798543930054,-6.8238667154219e-05,0.09897977113723755,0.040611863136291504,0.10190796852111816,0.040689945220947266,0.00554528646171093,-0.008823428303003311,2.8598854541778564,1.379626750946045,2.96219801902771,1.3689998388290405,0.7317817211151123,0.290169894695282,1.2275422811508179,0.14945806562900543,1.1855899095535278,0.14414316415786743,-0.2974475026130676,-0.211492657661438,0.8633453249931335,0.020428575575351715,0.9373790621757507,0.12727302312850952,-0.3517276346683502,-0.16561999917030334,1.5700000524520874,-1.8744642734527588,1.5700000524520874,-1.7409087419509888,-2.8138210773468018,-1.3249599933624268,1.5700000524520874,-1.5096428394317627,1.5700000524520874,-1.5246633291244507,0.7348876595497131,0.2596472501754761,0.01948917484329904,0.9806932559990713,-0.21183219543921794,0.847573777320143,0.04121431830081601,-0.03288751567893855
4,0.08,-0.04582115262746811,-0.0016377870924770832,0.09513375163078308,0.003196782199665904,-2.63227915763855,-0.034658968448638916,-0.1585792452096939,-7.5168072726228274e-06,-0.9873462319374084,0.0,0.0,0.0,0.27000001072883606,0.0,0.26957082748413086,7.613142315676669e-06,0.15547490119934082,0.05430638790130615,0.15830469131469727,0.05403244495391846,-0.016700776293873787,-0.032661691308021545,2.7625539302825928,0.5285959243774414,2.608991861343384,0.5035305023193359,-2.1538074016571045,-1.6410496234893799,0.8633453249931335,0.020428575575351715,0.9373790621757507,0.12727302312850952,-0.3517276346683502,-0.16561999917030334,0.9360809326171875,0.11168833076953888,1.025377869606018,0.11294680833816528,-0.6579927206039429,-0.5753644704818726,1.5700000524520874,-1.7603895664215088,1.5700000524520874,-1.7588164806365967,-5.263941764831543,-4.6029157638549805,1.5700000524520874,-1.7131774425506592,1.5700000524520874,-1.7198209762573242,-2.379580020904541,-1.691941261291504,-0.29523364599268653,0.1561136108503085,-0.2800329684848659,0.12802505102109407,-1.7154866348798707,-0.299032956397538
5,0.10000000000000002,-0.05738012492656708,0.015336156822741032,0.017131969332695007,-0.04280663654208183,-1.912502408027649,0.12847431004047394,-0.20031307637691498,0.0005594930844381452,-0.9797317981719971,0.0,0.0,0.0,0.27000001072883606,0.0,0.2701655924320221,-0.0005710675613954663,0.20881640911102295,0.05349898338317871,0.20499300956726074,0.05642068386077881,-0.07015088945627213,-0.05967763438820839,2.544084072113037,-0.16706989705562592,2.23952317237854,0.05773478373885155,-2.725111484527588,-1.3435570001602173,0.9360809326171875,0.11168833076953888,1.025377869606018,0.11294680833816528,-0.6579927206039429,-0.5753644704818726,1.0773754119873047,0.16406986117362976,1.1795865297317505,0.08901022374629974,-0.8146147727966309,-0.8901348114013672,1.5700000524520874,-1.6949126720428467,1.5700000524520874,-1.788737177848816,-6.516918182373047,-7.1210784912109375,1.5700000524520874,-1.8744642734527588,1.5700000524520874,-1.7409087419509888,-2.8138210773468018,-1.3249599933624268,-0.5058110898183461,-0.05072213886091603,0.17255544114558852,0.882900270358089,-0.20847344966532955,0.036776396680352264
6,0.12000000000000004,-0.03378427401185036,-0.0014157627010717988,0.03610379248857498,0.030180731788277626,-1.2644959688186646,0.1278832107782364,-0.23133781552314758,0.0012465995969250798,-0.9728726744651794,0.0,0.0,0.0,0.27000001072883606,0.0,0.2704412639141083,-0.0012813587673008442,0.2561962604522705,0.05720853805541992,0.24925243854522705,0.06060671806335449,-0.1598617285490036,-0.12599965929985046,2.2137935161590576,0.22568942606449127,2.178504705429077,0.20751869678497314,-5.175478935241699,-4.408228874206543,1.0773754119873047,0.16406986117362976,1.1795865297317505,0.08901022374629974,-0.8146147727966309,-0.8901348114013672,1.1055282354354858,0.19351810216903687,1.296617865562439,0.0892983078956604,-1.0432080030441284,-1.187589168548584,1.5700000524520874,-1.6581023931503296,1.5700000524520874,-1.788377046585083,-8.345664024353027,-9.500713348388672,1.5700000524520874,-1.7603895664215088,1.5700000524520874,-1.7588164806365967,-5.263941764831543,-4.6029157638549805,-0.46537205329252096,0.35169727604126777,-0.06341483495767442,0.35938885563213674,-0.5030516746416573,-1.7149714218603158
7,0.14000000000000004,-0.011612613685429096,-0.013969908468425274,0.03282865136861801,0.06174280121922493,-0.4673908054828644,0.03061763383448124,-0.24613548815250397,0.0005291848792694509,-0.9692353010177612,0.0,0.0,0.0,0.27000001072883606,0.0,0.27099186182022095,-0.0005459818057715893,0.2963372468948364,0.06427991390228271,0.2916659116744995,0.06471741199493408,-0.2865947484970093,-0.2500647306442261,1.8521994352340698,0.3314793109893799,2.0767481327056885,0.1750115156173706,-6.512862682342529,-6.983503341674805,1.1055282354354858,0.19351810216903687,1.296617865562439,0.0892983078956604,-1.0432080030441284,-1.187589168548584,1.0824345350265503,0.22424648702144623,1.369615077972412,0.08857367932796478,-1.034830927848816,-1.286312222480774,1.5700000524520874,-1.6196918487548828,1.5700000524520874,-1.7892829179763794,-8.278647422790527,-10.290497779846191,1.5700000524520874,-1.6949126720428467,1.5700000524520874,-1.788737177848816,-6.516918182373047,-7.1210784912109375,-0.03774828777755346,0.7009820968741458,-0.38480573907578197,0.06246208583706192,-0.062491256971219045,-0.8419255945750272
8,0.16000000000000006,0.011446109041571617,-0.022082749754190445,0.02621402218937874,0.05844227597117424,0.2544500529766083,-0.11485762894153595,-0.24714763462543488,-0.001006989972665906,-0.9689773321151733,0.0,0.0,0.0,0.27000001072883606,0.0,0.2715676724910736,0.0010392293334007263,0.33163177967071533,0.07359921932220459,0.33103954792022705,0.06924951076507568,-0.447314977645874,-0.4245608448982239,1.6590149402618408,0.43513205647468567,1.8790690898895264,0.20213985443115234,-8.353569984436035,-9.3990478515625,1.0824345350265503,0.22424648702144623,1.369615077972412,0.08857367932796478,-1.034830927848816,-1.286312222480774,1.0767250061035156,0.2304166853427887,1.4182430505752563,0.10515271127223969,-0.9231810569763184,-1.222540259361267,1.5700000524520874,-1.6119791269302368,1.5700000524520874,-1.7685590982437134,-7.385448455810547,-9.780322074890137,1.5700000524520874,-1.6581023931503296,1.5700000524520874,-1.788377046585083,-8.345664024353027,-9.500713348388672,0.055885612902526915,0.7504334718644792,-0.4760346108616975,-0.04944767958253138,-0.06946250346372906,-0.4951973366025868
9,0.18000000000000008,0.0007556541822850704,-0.04343327507376671,-0.0005513656651601195,0.05759360268712044,0.4664615988731384,-0.4520302414894104,-0.23878416419029236,-0.003146770177409053,-0.9710675477981567,0.0,0.0,0.0,0.27000001072883606,0.0,0.2718620002269745,0.0032405152451246977,0.36314237117767334,0.08319592475891113,0.36558616161346436,0.0742267370223999,-0.6137961745262146,-0.6283059120178223,1.552366852760315,0.4830619990825653,1.629541277885437,0.16548952460289001,-8.312291145324707,-10.225907325744629,1.0767250061035156,0.2304166853427887,1.4182430505752563,0.10515271127223969,-0.9231810569763184,-1.222540259361267,1.0862555503845215,0.21723593771457672,1.4632641077041626,0.10186668485403061,-0.8118276596069336,-1.1679619550704956,1.5700000524520874,-1.6284550428390503,1.5700000524520874,-1.772666573524475,-6.494621276855469,-9.343695640563965,1.5700000524520874,-1.6196918487548828,1.5700000524520874,-1.7892829179763794,-8.278647422790527,-10.290497779846191,-0.047005724047934905,1.0646089129658236,-0.14321158777423548,-0.3042075072365442,0.06107542781493791,-0.042901047445472074
