policy_step,sim_time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,leg_target_servo2,leg_target_servo1,leg_target_servo4,leg_target_servo3,wheel_velocity_target_wheel1,wheel_velocity_target_wheel2,applied_ctrl_servo2,applied_ctrl_servo1,applied_ctrl_servo4,applied_ctrl_servo3,applied_ctrl_wheel1,applied_ctrl_wheel2,actuator_force_servo2,actuator_force_servo1,actuator_force_servo4,actuator_force_servo3,actuator_force_wheel1,actuator_force_wheel2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.27000001072883606,0.0,0.27000001072883606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8849973082542419,0.3462833762168884,0.8217599987983704,0.32411935925483704,-0.04242663085460663,-0.08369332551956177,1.5700000524520874,-1.4671456813812256,1.5700000524520874,-1.494850754737854,-0.339413046836853,-0.6695466041564941,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,-2.0,2.0,0.0,0.0
1,0.02,-0.00016762354061938822,-0.0015729224542155862,-0.03996974974870682,0.0147818922996521,-2.6757845878601074,0.009093697182834148,-0.026854239404201508,-1.0298877896275371e-05,-0.9996393322944641,0.0,0.0,0.0,0.27000001072883606,0.0,0.2696618139743805,1.0302594091626815e-05,0.04048949480056763,0.041186392307281494,0.028125882148742676,0.02747976779937744,-0.008096429519355297,-0.014328695833683014,3.114314317703247,3.1405227184295654,1.935783863067627,1.8297605514526367,-0.38901057839393616,-0.7080211639404297,0.8849973082542419,0.3462833762168884,0.8217599987983704,0.32411935925483704,-0.04242663085460663,-0.08369332551956177,1.02301025390625,0.07680671662092209,1.1135507822036743,0.08590419590473175,-0.42470449209213257,-0.33134597539901733,1.5700000524520874,-1.8039915561676025,1.5700000524520874,-1.7926197052001953,-3.3976359367370605,-2.6507678031921387,1.5700000524520874,-1.4671456813812256,1.5700000524520874,-1.494850754737854,-0.339413046836853,-0.6695466041564941,1.4685317150658133,0.5769764079226114,1.3532083908545562,0.4542043207454931,0.17568924244718453,0.14902378163012786
2,0.04,0.023000987246632576,0.0007759453728795052,-0.07841504365205765,-0.0011194245889782906,-1.816891074180603,-0.010608055628836155,-0.07746075838804245,-0.00022267771419137716,-0.9969953894615173,0.0,0.0,0.0,0.27000001072883606,0.0,0.26728764176368713,0.00022334879031404853,0.10325062274932861,0.10289335250854492,0.032753586769104004,0.031575560569763184,-0.051778797060251236,-0.05786825343966484,3.029252290725708,2.851698875427246,-0.2028772085905075,-0.19324617087841034,-3.176485300064087,-2.600172758102417,1.02301025390625,0.07680671662092209,1.1135507822036743,0.08590419590473175,-0.42470449209213257,-0.33134597539901733,1.199175477027893,0.16096638143062592,1.223162293434143,0.17427507042884827,-0.7703505158424377,-0.645179033279419,1.5700000524520874,-1.6987919807434082,1.5700000524520874,-1.6821560859680176,-6.162804126739502,-5.161432266235352,1.5700000524520874,-1.8039915561676025,1.5700000524520874,-1.7926197052001953,-3.3976359367370605,-2.6507678031921387,-0.36377879046688655,1.0777396214108492,-0.24484648443463009,1.1909807918868154,-1.7128972631945096,-0.35932304753460187
3,0.05999999999999999,0.04766206815838814,0.0004777237481903285,0.08818788826465607,-0.00012429054186213762,-1.3348808288574219,0.019872717559337616,-0.10806099325418472,-0.00023084845452103764,-0.9941442608833313,0.0,0.0,0.0,0.27000001072883606,0.0,0.2681656777858734,0.00023220820003189147,0.1601039171218872,0.15671181678771973,0.04172873497009277,0.04075157642364502,-0.15309883654117584,-0.14683331549167633,2.762118339538574,2.55509352684021,0.605697751045227,0.608027994632721,-5.9950127601623535,-5.128571510314941,1.199175477027893,0.16096638143062592,1.223162293434143,0.17427507042884827,-0.7703505158424377,-0.645179033279419,1.1728804111480713,0.17359106242656708,1.2396057844161987,0.1865445077419281,-0.963509738445282,-0.8371664881706238,1.5700000524520874,-1.6830111742019653,1.5700000524520874,-1.6668193340301514,-7.708077907562256,-6.69733190536499,1.5700000524520874,-1.6987919807434082,1.5700000524520874,-1.6821560859680176,-6.162804126739502,-5.161432266235352,-0.3877209069629206,0.4854695948866983,-0.10122037310053678,0.633167891632052,-1.2542929935445812,-0.3541724221918727
4,0.08,0.06768548488616943,0.0003794172080233693,0.0774570107460022,0.0033593187108635902,-0.6370896100997925,0.03950609639286995,-0.12595759332180023,-0.0002054288052022457,-0.9920356273651123,0.0,0.0,0.0,0.27000001072883606,0.0,0.2700205445289612,0.00020707804651465267,0.21207356452941895,0.20494115352630615,0.05567634105682373,0.054492950439453125,-0.30060192942619324,-0.27610504627227783,2.4773080348968506,2.2957231998443604,0.6646040081977844,0.6424649357795715,-7.646431922912598,-6.694253921508789,1.1728804111480713,0.17359106242656708,1.2396057844161987,0.1865445077419281,-0.963509738445282,-0.8371664881706238,1.136851191520691,0.19998925924301147,1.2368232011795044,0.20439904928207397,-0.900781512260437,-0.8113061189651489,1.5700000524520874,-1.6500134468078613,1.5700000524520874,-1.6445012092590332,-7.206252098083496,-6.490448951721191,1.5700000524520874,-1.6830111742019653,1.5700000524520874,-1.6668193340301514,-7.708077907562256,-6.69733190536499,-0.40712986746684443,0.2539386182259875,0.03756329252202306,0.455783588678603,-0.18715774557626474,-0.05988399561216973
5,0.10000000000000002,0.04956360533833504,0.0005444297567009926,0.05434082821011543,0.005363997537642717,-0.5643245577812195,0.04696604982018471,-0.13737113773822784,-0.0001763101463438943,-0.990519642829895,0.0,0.0,0.0,0.27000001072883606,0.0,0.27137088775634766,0.0001779976300895214,0.2576221227645874,0.24846839904785156,0.06980705261230469,0.0679856538772583,-0.44470730423927307,-0.4062827527523041,2.198655366897583,2.1051859855651855,0.7067127227783203,0.6666706800460815,-7.176955699920654,-6.495084285736084,1.136851191520691,0.19998925924301147,1.2368232011795044,0.20439904928207397,-0.900781512260437,-0.8113061189651489,1.1337352991104126,0.20264442265033722,1.2357817888259888,0.20579573512077332,-0.8252079486846924,-0.7498194575309753,1.5700000524520874,-1.6466944217681885,1.5700000524520874,-1.6427552700042725,-6.601663589477539,-5.998555660247803,1.5700000524520874,-1.6500134468078613,1.5700000524520874,-1.6445012092590332,-7.206252098083496,-6.490448951721191,-0.27094809702745515,0.40720051208205277,0.009338109226348479,0.5493544825253167,-0.050977234193918974,0.013312159396246415
6,0.12000000000000004,0.030910838395357132,0.0010291445069015026,0.033179424703121185,0.004427829757332802,-0.5465630888938904,0.04330534115433693,-0.14832323789596558,-0.00014353034202940762,-0.9889389276504517,0.0,0.0,0.0,0.27000001072883606,0.0,0.27225297689437866,0.00014513569476548582,0.298555850982666,0.2880455255508423,0.08288729190826416,0.08025383949279785,-0.5770004987716675,-0.5269649028778076,1.9806936979293823,1.9148247241973877,0.6457445621490479,0.6013745069503784,-6.580859184265137,-6.0065484046936035,1.1337352991104126,0.20264442265033722,1.2357817888259888,0.20579573512077332,-0.8252079486846924,-0.7498194575309753,1.1491962671279907,0.2063661515712738,1.244571328163147,0.20782241225242615,-0.7499058246612549,-0.6855655312538147,1.5700000524520874,-1.6420422792434692,1.5700000524520874,-1.6402219533920288,-5.999246597290039,-5.484524250030518,1.5700000524520874,-1.6466944217681885,1.5700000524520874,-1.6427552700042725,-6.601663589477539,-5.998555660247803,-0.24245514165031423,0.426727330172902,-0.006852189293310218,0.57416873359956,-0.03335489236515343,0.022002485761033697
7,0.14000000000000004,0.01627364382147789,0.001261603320017457,0.02022549696266651,0.003909616731107235,-0.5386459827423096,0.03850828483700752,-0.1590127944946289,-9.905130718834698e-05,-0.9872764945030212,0.0,0.0,0.0,0.27000001072883606,0.0,0.27277734875679016,0.00010032783029600978,0.33545196056365967,0.3239772319793701,0.09489822387695312,0.09139823913574219,-0.6973991990089417,-0.6374716758728027,1.7865707874298096,1.739403486251831,0.5971359014511108,0.5508114099502563,-5.985964298248291,-5.49639368057251,1.1491962671279907,0.2063661515712738,1.244571328163147,0.20782241225242615,-0.7499058246612549,-0.6855655312538147,1.1717766523361206,0.20798775553703308,1.2585675716400146,0.20871615409851074,-0.6731842160224915,-0.6191595196723938,1.5700000524520874,-1.6400152444839478,1.5700000524520874,-1.6391048431396484,-5.385473728179932,-4.95327615737915,1.5700000524520874,-1.6420422792434692,1.5700000524520874,-1.6402219533920288,-5.999246597290039,-5.484524250030518,-0.2228915592465217,0.4532595570154214,-0.015024952135421543,0.5929832957670165,-0.01774625498377702,0.030566702003074653
8,0.16000000000000006,0.005197678226977587,0.0014045475982129574,0.011717669665813446,0.0034247629810124636,-0.5346145629882812,0.03415653109550476,-0.16957609355449677,-5.175340629648417e-05,-0.9855170845985413,0.0,0.0,0.0,0.27000001072883606,0.0,0.27306634187698364,5.2513962145894766e-05,0.36872339248657227,0.35659515857696533,0.10582661628723145,0.10148191452026367,-0.8056600689888,-0.7374415993690491,1.61202073097229,1.5798985958099365,0.5452218651771545,0.5008407235145569,-5.378560543060303,-4.968677043914795,1.1717766523361206,0.20798775553703308,1.2585675716400146,0.20871615409851074,-0.6731842160224915,-0.6191595196723938,1.1989073753356934,0.20795701444149017,1.2758402824401855,0.20864036679267883,-0.5926425457000732,-0.5487121343612671,1.5700000524520874,-1.6400537490844727,1.5700000524520874,-1.6391994953155518,-4.741140365600586,-4.389697074890137,1.5700000524520874,-1.6400152444839478,1.5700000524520874,-1.6391048431396484,-5.385473728179932,-4.95327615737915,-0.20654710744376992,0.4687462371176565,-0.022023390387508,0.6049572725241568,-0.004670239850604219,0.03811310619144059
9,0.18000000000000008,-0.0030119174625724554,0.0015043711755424738,0.006233624182641506,0.002940112492069602,-0.5388362407684326,0.03044980578124523,-0.18013466894626617,-1.1070795835621539e-06,-0.9836419820785522,0.0,0.0,0.0,0.27000001072883606,0.0,0.2731936275959015,1.1254903711233055e-06,0.39871835708618164,0.38619959354400635,0.11560368537902832,0.11050581932067871,-0.9011805653572083,-0.8262409567832947,1.454495906829834,1.4351757764816284,0.4902774393558502,0.4510882794857025,-4.739912033081055,-4.408337116241455,1.1989073753356934,0.20795701444149017,1.2758402824401855,0.20864036679267883,-0.5926425457000732,-0.5487121343612671,1.2306122779846191,0.20654165744781494,1.2959668636322021,0.2074144184589386,-0.5069708824157715,-0.47311604022979736,1.5700000524520874,-1.6418229341506958,1.5700000524520874,-1.640731930732727,-4.055767059326172,-3.784928321838379,1.5700000524520874,-1.6400537490844727,1.5700000524520874,-1.6391994953155518,-4.741140365600586,-4.389697074890137,-0.19136109209267715,0.48126581311471384,-0.02828671629209545,0.6149620721785709,0.00737196995021705,0.045382373285713484
